Group	K00133	K00931	K01799	K00147	K11910	K06718	K06719	K06720	K06721	K00129	K00130	K03464	K00965	K00697	K05375	K01231	K01230	K05845	K05846	K05847	K02000	K02001	K02002	K03312	K03313	K03314	K03315	K03316	K03317	K03318	K01546	K01547	K01548	K03455
A	100	92.85714285714286	0.0	92.85714285714286	0	0.0	0	0.0	0	0	96.42857142857143	0	7.142857142857142	0	57.14285714285714	0	0	96.42857142857143	96.42857142857143	96.42857142857143	64.28571428571429	64.28571428571429	64.28571428571429	17.857142857142858	0	0	92.85714285714286	7.142857142857142	60.71428571428571	0	35.714285714285715	35.714285714285715	39.285714285714285	0
B	100	85.18518518518519	7.4074074074074066	85.18518518518519	0	77.77777777777779	0	92.5925925925926	0	0	74.07407407407408	0	0.0	0	11.11111111111111	0	0	100.0	100.0	100.0	100.0	100.0	100.0	51.85185185185185	0	0	77.77777777777779	14.814814814814813	7.4074074074074066	0	3.7037037037037033	3.7037037037037033	3.7037037037037033	0
C	100	100.0	0.0	100.0	0	20.0	0	20.0	0	0	40.0	0	0.0	0	0.0	0	0	40.0	50.0	40.0	60.0	60.0	60.0	40.0	20	0	50.0	0.0	20.0	0	50.0	50.0	50.0	0
